CallId;CallReceiveTone;CallType;Name
1;off;group;Wereld Marc
10;off;group;DUITS Marc
13;off;group;ENGELS Marc
1001;off;group;STZ ALMERE
2;off;group;Europa Marc
20;off;group;DL-OE-HB Marc
204;off;group;NEDERLAND
20401;off;group;C4FM Hobbyscoop
2041;off;group;Noord
2042;off;group;Midden
20421;off;group;Keistad
2043;off;group;Zuid
2044;off;group;Oost
20441;off;group;IJsselmond
20442;off;group;Oost C4FM
2045;off;group;Techtalk
2046;off;group;2046
2047;off;group;2047
2048;off;group;2048
20494;off;group;YSF 444
2049881;off;group;XRF088A
2049882;off;group;XRF088B
206;off;group;Belgie
2061;off;group;Belgie Vlaams
2062;off;group;Belgie Frans
22;off;group;NED Talig Marc
260;off;group;POLSKA
2602;off;group;2602 S1
26021;off;group;Trojmiasta
26022;off;group;26022 S2
362001;off;group;PJ2R Lokaal
4000;off;group;Ontkoppelen
8;off;group;REGIONAAL Marc
9;off;group;LOKAAL
907;off;group;JOTA
91;off;group;WERELDWIJD
92;off;group;EUROPA
922;off;group;NED TALIG
99;off;group;SIMPLEX
9000;off;private;welk profiel?
9001;off;private;Openspot IP opvr
9990;off;private;Echo
9998;off;private;Yaesu gebruiker
9999;off;private;Echo openSpot
90000;off;private;openSP profiel 0
90001;off;private;openSP profiel 2
90002;off;private;openSP profiel 2
90003;off;private;openSP profiel 3
90004;off;private;openSP profiel 4
16556117;off;private;==USER ID=======
2061064;off;private;ON2AAL Stefaan
2064002;off;private;ON2PCO Paul
2064004;off;private;ON2PCO. Paul
2062060;off;private;ON3JVB Jurgen
2063031;off;private;ON5ABS Herman
2061026;off;private;ON5QN Johan
5371003;off;private;P29JV Joris
2046105;off;private;PA0AAS Karel
2045139;off;private;PA0AWA Arie
2041048;off;private;PA0AWP Ad
2047066;off;private;PA0ESH Erik
2043009;off;private;PA0ETE John
2043120;off;private;PA0F Frits
2042113;off;private;PA0GPE Gilles
2045155;off;private;PA0GTB Cor
2046141;off;private;PA0HEJ Hans
2044025;off;private;PA0HMV Bert
2045159;off;private;PA0JEN Han
2042036;off;private;PA0JGS Jack
2047027;off;private;PA0JMY Jan
2043127;off;private;PA0LUB Ton
2042076;off;private;PA0MAG Mark
2042250;off;private;PA0ONH Niek
2044074;off;private;PA0RKT Gerard
